"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"[Nisoldipine in stable angina pectoris. Efficacy and tolerance in comparison with diltiazem].","Europe",1991,1,0,0,1,0,NA,"1990s",3.2188758248682,"pharmacological",1
"Felodipine in addition to beta-adrenergic blockade for angina pectoris. a multicentre, randomized, placebo-controlled trial.","Europe",1995,1,1,0,1,0,"blinded","1990s",4.85981240436167,"pharmacological",1
"Pharmacokinetics and additional anti-ischaemic effectiveness of amlodipine, a once-daily calcium antagonist, during acute and long-term therapy of stable angina pectoris in patients pre-treated with a beta-blocker.","Europe",1993,1,0,0,1,0,"blinded","1990s",2.70805020110221,"pharmacological",1
"Randomized double-blind study of pindolol in patients with stable angina pectoris.","North America",1982,1,0,0,1,0,"blinded","1980s",2.70805020110221,"pharmacological",1
"Effect of partial agonist activity on the side effects of beta-blockade in patients with chronic stable angina.","Europe",1989,1,1,0,1,0,"blinded","1980s",3.04452243772342,"pharmacological",1
"Angiogenic Gene Therapy (AGENT) trial in patients with stable angina pectoris.","North America",2002,0,0,0,1,0,"blinded","2000s",4.38202663467388,"pharmacological",1
"A randomized, triple-blind trial of cardiac shock-wave therapy on exercise tolerance and symptoms in patients with stable angina pectoris.","Europe",2018,0,0,0,1,0,"blinded","2010-2026",4.29045944114839,"interventional",1
"Additional antianginal and anti-ischemic efficacy of mibefradil in patients concomitantly treated with long-acting nitrates for chronic stable angina pectoris.","North America",1998,0,0,0,1,0,"blinded","1990s",5.24702407216049,"pharmacological",1
"Comparison of combination nifedipine-propranolol and diltiazem-propranolol with high dose diltiazem monotherapy for stable angina pectoris.","North America",1988,1,0,0,1,0,"blinded","1980s",3.04452243772342,"pharmacological",1
"The symptomatic and objective effects of nifedipine in combination with beta-blocker therapy in severe angina pectoris.","Europe",1982,1,0,0,1,0,"blinded","1980s",2.30258509299405,"pharmacological",1
"Amlodipine once a day in stable angina: double-blind crossover comparison with placebo.","North America",1993,0,0,1,1,0,"blinded","1990s",3.78418963391826,"pharmacological",1
"Carvedilol versus verapamil in chronic stable angina: a multicentre trial.","Europe",1997,0,0,0,1,0,"blinded","1990s",5.51745289646471,"pharmacological",1
"Long-term antianginal and antiischemic effects of mibefradil, the novel T-type calcium channel blocker: a multicenter, double-blind, placebo-controlled, randomized comparison with sustained-release diltiazem.","Europe",1997,0,0,0,1,0,"blinded","1990s",5.33753807970132,"pharmacological",1
"[Coronary artery disease observed in general hospitals: ETTIC study. Comparison between trimetazidine and mononitrate isosorbide for patients receiving betablockers].","Europe",2002,1,0,0,1,0,NA,"2000s",5.2257466737132,"pharmacological",1
"Effect of metoprolol and amlodipine on myocardial total ischaemic burden in patients with stable angina pectoris.","Europe",1997,0,0,0,0,1,"blinded","1990s",3.97029191355212,"pharmacological",1
"A comparison of once daily bisoprolol, 5 and 10 mg, and atenolol 100 mg in the treatment of angina pectoris.","Europe",1987,1,0,0,1,0,"blinded","1980s",2.99573227355399,"pharmacological",1
"Holmium:YAG laser transmyocardial revascularization relieves angina and improves functional status.","North America",1999,0,0,1,1,0,"unblinded","1990s",4.46590811865458,"interventional",1
"A randomised controlled trial of a self-management plan for patients with newly diagnosed angina.","Europe",2002,0,1,0,0,0,"unblinded","2000s",4.96284463025991,"other",0
"Efficacy and safety of extended-release isosorbide mononitrate for stable effort angina pectoris.","North America",1993,0,0,0,1,0,"blinded","1990s",5.74939298590825,"pharmacological",1
"Spinal cord stimulation in chronic intractable angina pectoris: a randomized, controlled efficacy study.","Europe",1998,1,1,0,1,1,"unblinded","1990s",3.25809653802148,"interventional",1
"[Myocardial ischemia with stable angina pectoris: clinico-ergometric evaluation after the use of diltiazem].","Europe",1992,1,0,0,1,0,"blinded","1990s",4.47733681447821,"pharmacological",1
